harga,alamat,fasilitas,Carport,Dapur,Daya_Listrik,Garasi,Hadap,Hook,ID_Iklan,Jumlah_Lantai,Kamar_Mandi,Kamar_Mandi_Pembantu,Kamar_Pembantu,Kamar_Tidur,Kondisi_Perabotan,Kondisi_Properti,Konsep_dan_Gaya_Rumah,Lebar_Jalan,Luas_Bangunan,Luas_Tanah,Material_Bangunan,Material_Lantai,Pemandangan,Ruang_Makan,Ruang_Tamu,Sertifikat,Sumber_Air,Tahun_Di_Renovasi,Tahun_Dibangun,Terjangkau_Internet,Tipe_Properti
"Rp 2,2 Miliar","Ciledug, Tangerang","Taman,Tempat Jemuran, Akses Parkir,Keamanan 24 jam,Masjid, One Gate System, Playground, AC,Kitchen Set,Wastafel,Lapangan Basket,Lapangan Tenis",2,1,2200 Watt,,Utara,Ya,hos15289525,2,4,,,4,Unfurnished,Sudah Renovasi,Minimalis,2 Mobil,165 m²,180 m²,Bata Merah,Keramik,Pemukiman Warga,Ya,Tidak,SHM - Sertifikat Hak Milik,Sumur Pompa,2022,2015,Ya,Rumah
"Rp 2,8 Miliar","Ciledug, Tangerang",Ac,,,2200 Watt,,,,hos10988119,1,4,,1,5,Unfurnished,Bagus,,,270 m²,384 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
Rp 700 Juta,"Ciledug, Tangerang",,,,1300 Watt,,,Tidak,hos15069221,1,1,,,2,,Baru,,2 Mobil,50 m²,72 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Bor,,,Tidak,Rumah
"Rp 2,45 Miliar","Ciledug, Tangerang"," Jogging Track, Kolam Renang,Masjid,Taman",,,2200 Watt,,,,hos15070665,2,4,,,4,,bagus sekali,,,153 m²,133 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
"Rp 1,2 Miliar","Ciledug, Tangerang",,,,1300 Watt,,,Tidak,hos15070782,1,,,,,,Bagus,,,200 m²,156 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,PAM atau PDAM,2022,2011,Tidak,Rumah
"Rp 1,4 Miliar","Ciledug, Tangerang","Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, Kolam Renang, One Gate System, Playground,Track Lari",1,1,2200 Watt,,Timur,Tidak,hos15146250,2,2,,,3,,Baru,Minimalis Modern,2 Mobil,75 m²,75 m²,,,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
Rp 950 Juta,"Ciledug, Tangerang","Jalur Telepon, Jogging Track, Keamanan, Kolam Renang,Taman,Tempat Jemuran,Track Lari",2,1,2200 Watt,2,Utara,Tidak,hos15151934,2,2,,,3,Unfurnished,Baru,Modern,2 Mobil,77 m²,72 m²,"Beton, Bata Hebel","Granit, Keramik",Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
Rp 927 Juta,"Ciledug, Tangerang","Keamanan 24 jam, One Gate System,Taman",,1,2200 Watt,1,,Tidak,hos15152855,2,2,,,3,Unfurnished,Baru,Modern,,51 m²,58 m²,,,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
"Rp 1,84 Miliar","Ciledug, Tangerang","Jalur Telepon, Taman,Tempat Jemuran, Akses Parkir, CCTV,Keamanan 24 jam,Masjid, One Gate System, Playground, Tempat Laundry,AC,Wastafel",1,1,2200 Watt,,,Tidak,hos15229164,2,3,,,3,Unfurnished,Baru,Modern,2 Mobil,120 m²,88 m²,Bata Hebel,Granit,Perkotaan,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Pompa,,2023,Ya,Rumah
Rp 700 Juta,"Ciledug, Tangerang",Tempat Jemuran,,1,2200 Watt,1,,Tidak,hos15229496,2,3,,1,3,Unfurnished,,Minimalis Modern,2 Mobil,126 m²,90 m²,,,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Pompa,,,Ya,Rumah
Rp 425 Juta,"Ciledug, Tangerang","Ac,Keamanan, Taman,Keamanan 24 jam, One Gate System,Kitchen Set,Wastafel",1,1,1300 Watt,,Selatan,Tidak,hos15230557,1,1,,,2,Semi Furnished,Baru,Minimalis,1 Mobil,40 m²,50 m²,Bata Hebel,Granit,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,2023,2023,Ya,Rumah
"Rp 2,45 Miliar","Ciledug, Tangerang",,,,2200 Watt,,,,hos15230990,1,4,,,4,semi furnished,bagus,,,153 m²,133 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
"Rp 3,5 Miliar","Ciledug, Tangerang",,,,5500 Watt,2,,Tidak,hos15231247,1,3,1,1,4,Unfurnished,Bagus,,,400 m²,289 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Bor,,,Tidak,Rumah
"Rp 2,4 Miliar","Ciledug, Tangerang","Keamanan,Taman,Kitchen Set,Wastafel",12,,3500 Watt,,Utara,Ya,hos15234063,1,,,,,Semi Furnished,Bagus,,,800 m²,1775 m²,Batako,Keramik,Perkotaan,Tidak,Tidak,SHM - Sertifikat Hak Milik,PAM atau PDAM,,2013,Ya,Rumah
"Rp 1,85 Miliar","Ciledug, Tangerang"," Ac,Jalur Telepon, Keamanan, Masjid,Taman,Tempat Jemuran, Akses Parkir, CCTV,Keamanan 24 jam, One Gate System, Playground, Tempat Laundry,Pemanas Air,Wastafel",1,1,2200 Watt,,,Tidak,hos15192574,2,3,,,3,Unfurnished,Baru,Minimalis Modern,2 Mobil,120 m²,88 m²,"Beton, Bata Merah",Granit,,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
Rp 800 Juta,"Ciledug, Tangerang","Keamanan, Masjid,Taman,Tempat Jemuran, Akses Parkir,Keamanan 24 jam,Wastafel",1,1,2200 Watt,,,Tidak,hos15237428,2,3,,,4,Unfurnished,Bagus,,2 Mobil,126 m²,90 m²,,,Pemukiman Warga,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Pompa,,,Ya,Rumah
Rp 650 Juta,"Ciledug, Tangerang",,,,1300 Watt,1,,,hos15295058,,1,,,2,,,,,55 m²,76 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
"Rp 1,85 Miliar","Ciledug, Tangerang","Ac, Keamanan,Kolam Renang, Taman,Tempat Jemuran,Kitchen Set,Wastafel",2,1,3500 Watt,,,Tidak,hos14880285,2,2,1,1,3,Semi Furnished,Bagus,Modern,2 Mobil,84 m²,77 m²,,Keramik,Pemukiman Warga,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Pompa,,,Tidak,Rumah
"Rp 1,3 Miliar","Ciledug, Tangerang",Pemanas Air,,1,,,,Tidak,hos14914694,2,2,,,4,Unfurnished,Bagus,Minimalis,2 Mobil,170 m²,90 m²,Bata Merah,Keramik,Pemukiman Warga,Ya,Ya,SHM - Sertifikat Hak Milik,,,,Ya,Rumah
Rp 900 Juta,"Ciledug, Tangerang",,,,Lainnya Watt,,,,hos14921068,,3,,,5,,,,,384 m²,204 m²,,,,,,"Lainnya (PPJB,Girik,Adat,dll)",,,,,Rumah
Rp 1 Miliar,"Ciledug, Tangerang"," Ac, CCTV, Jalur Telepon, Jogging Track,Keamanan,Masjid, Taman,Tempat Jemuran,Pemanas Air,Wastafel, Lapangan Basket,Lapangan Bola, Lapangan Bulu Tangkis,Lapangan Tenis, Lapangan Voli, Tempat Gym, Track Lari",2,1,2200 Watt,,Barat,Tidak,hos14859607,2,2,,,3,Unfurnished,Baru,Minimalis Modern,2 Mobil,75 m²,51 m²,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik, Ubin",Pemukiman Warga,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Tidak,Rumah
"Rp 8,5 Miliar","Ciledug, Tangerang","Taman,AC,Pemanas Air",,,4400 Watt,4,,Tidak,hos14884938,,3,,,3,,Semi Furnished,,,275 m²,858 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,,,,Tidak,Rumah
Rp 370 Juta,"Panongan, Tangerang",Tempat Jemuran,,,1300 Watt,1,,Tidak,hos15190748,,2,,,2,Unfurnished,Bagus,,,36 m²,60 m²,,,,Tidak,Tidak,HGB - Hak Guna Bangunan,,,,Tidak,Rumah
"Rp 1,3 Miliar","Panongan, Tangerang","Jalur Telepon,Taman,Akses Parkir, CCTV,Keamanan 24 jam, Kolam Renang, One Gate System, Playground,Wastafel,Tempat Gym,Track Lari",1,1,2200 Watt,,,Tidak,hos14544351,2,3,1,1,3,Unfurnished,Baru,,2 Mobil,93 m²,84 m²,,,,Ya,Ya,"Lainnya (PPJB,Girik,Adat,dll)",PAM atau PDAM,,,Ya,Rumah
Rp 950 Juta,"Panongan, Tangerang",Taman,,,Lainnya Watt,1,,,hos14547080,1,2,1,1,2,,bagus,,,51 m²,96 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
"Rp 1,88 Miliar","Panongan, Tangerang","Taman,Tempat Jemuran,Keamanan 24 jam",1,1,2200 Watt,,Timur,Tidak,hos14686650,2,4,,,4,Unfurnished,Bagus,,,260 m²,157 m²,,,,Ya,Ya,SHM - Sertifikat Hak Milik,,,,Tidak,Rumah
"Rp 1,35 Miliar","Panongan, Tangerang","AC,Kitchen Set",,,4400 Watt,,,Tidak,hos14753122,2,2,,,3,Furnished,Bagus,,,80 m²,72 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,PAM atau PDAM,,,Tidak,Rumah
Rp 488 Juta,"Panongan, Tangerang"," Ac,Jogging Track,Keamanan, Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, One Gate System, Playground,Pemanas Air,Tempat Gym,Track Lari",1,,2200 Watt,1,Barat,Tidak,hos14913718,1,1,,,2,Unfurnished,Baru,Scandinavian,2 Mobil,31 m²,50 m²,Bata Merah,"Keramik, Marmer",Perkotaan,Tidak,Tidak,HGB - Hak Guna Bangunan,PAM atau PDAM,,2023,Tidak,Rumah
Rp 640 Juta,"Panongan, Tangerang"," Jogging Track,Keamanan,Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, One Gate System, Playground,Pemanas Air,Tempat Gym,Track Lari",1,1,2200 Watt,1,Utara,Tidak,hos14916321,1,1,,,2,Unfurnished,Baru,Scandinavian,2 Mobil,38 m²,72 m²,Bata Merah,Marmer,Perkotaan,Tidak,Tidak,HGB - Hak Guna Bangunan,PAM atau PDAM,,2023,Ya,Rumah
"Rp 1,13 Miliar","Panongan, Tangerang","CCTV, Jogging Track, Keamanan,Taman,Tempat Jemuran,Keamanan 24 jam, One Gate System, Playground,Pemanas Air,Wastafel,Tempat Gym,Track Lari",2,1,2200 Watt,2,Utara,Tidak,hos14917674,2,2,,,3,Unfurnished,Baru,Scandinavian,2 Mobil,82 m²,84 m²,Bata Merah,Marmer,Perkotaan,Tidak,Tidak,HGB - Hak Guna Bangunan,PAM atau PDAM,,2023,Ya,Rumah
Rp 640 Juta,"Panongan, Tangerang"," Jalur Telepon, Jogging Track,Keamanan,Kolam Renang, Taman, CCTV,Keamanan 24 jam, One Gate System, Playground,Lapangan Bulu Tangkis,Tempat Gym, Track Lari",1,1,2200 Watt,,Selatan,Tidak,hos14983407,1,1,,,2,Unfurnished,Baru,Minimalis Modern,2 Mobil,38 m²,72 m²,Bata Hebel,Granit,Pedesaan,Tidak,Tidak,SHM - Sertifikat Hak Milik,,,2023,Ya,Rumah
Rp 325 Juta,"Panongan, Tangerang",Tempat Jemuran,,,1300 Watt,1,,Tidak,hos14927950,,1,,,2,Unfurnished,Bagus,,,42 m²,60 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,,,,Tidak,Rumah
Rp 350 Juta,"Panongan, Tangerang",Tempat Jemuran,,1,2200 Watt,3,,Tidak,hos14928214,2,3,,,4,Unfurnished,Bagus,,,78 m²,102 m²,,,,Tidak,Tidak,"Lainnya (PPJB,Girik,Adat,dll)",PAM atau PDAM,,,Tidak,Rumah
Rp 450 Juta,"Panongan, Tangerang",,,,1300 Watt,1,,,hos14928197,,1,,,2,,Unfurnished,,,115 m²,115 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
Rp 275 Juta,"Panongan, Tangerang",Tempat Jemuran,,1,1300 Watt,1,,Tidak,hos14928127,1,1,,,2,Unfurnished,Bagus,,,60 m²,60 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,,,,Tidak,Rumah
Rp 630 Juta,"Panongan, Tangerang","Keamanan 24 jam,Masjid, One Gate System, Taman",,,1300 Watt,,,Tidak,hos15224743,1,2,,,2,Unfurnished,Bagus,Minimalis Modern,,40 m²,72 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,PAM atau PDAM,,,Tidak,Rumah
"Rp 1,13 Miliar","Panongan, Tangerang","Jalur Telepon, Taman,Tempat Jemuran,Akses Parkir, CCTV,Keamanan 24 jam, One Gate System",,,2200 Watt,1,,Tidak,hos15231032,2,2,,,3,,Baru,,3 Mobil,82 m²,84 m²,,,,Ya,Ya,SHM - Sertifikat Hak Milik,PAM atau PDAM,,,Ya,Rumah
Rp 310 Juta,"Panongan, Tangerang",Tempat Jemuran,,,1300 Watt,1,,Tidak,hos15193552,1,2,,,2,Unfurnished,Bagus,,,60 m²,60 m²,,,,Tidak,Tidak,HGB - Hak Guna Bangunan,,,,Tidak,Rumah
Rp 540 Juta,"Panongan, Tangerang","Taman,Tempat Jemuran,Keamanan 24 jam",1,1,2200 Watt,,Barat,Tidak,hos14197744,1,1,,,2,Unfurnished,Bagus,,,36 m²,72 m²,,,,Ya,Ya,SHM - Sertifikat Hak Milik,,,,Tidak,Rumah
Rp 540 Juta,"Panongan, Tangerang","Taman,Tempat Jemuran,Keamanan 24 jam",1,1,2200 Watt,,Barat,Tidak,hos14197747,1,1,,,2,Unfurnished,Bagus,,,36 m²,72 m²,,,,Ya,Ya,SHM - Sertifikat Hak Milik,,,,Tidak,Rumah
Rp 825 Juta,"Panongan, Tangerang","Taman,Masjid, Playground,Wastafel,Track Lari",1,,2200 Watt,1,,Tidak,hos14377976,2,2,,,2,Unfurnished,,Minimalis Modern,2 Mobil,110 m²,96 m²,Bata Hebel,Granit,Pemukiman Warga,,Ya,SHM - Sertifikat Hak Milik,PAM atau PDAM,,,Ya,Rumah
Rp 400 Juta,"Panongan, Tangerang",Tempat Jemuran,,,1300 Watt,1,,Tidak,hos15190753,,2,,,2,Unfurnished,Bagus,,,36 m²,72 m²,,,,Tidak,Tidak,"Lainnya (PPJB,Girik,Adat,dll)",,,,Tidak,Rumah
